"","time","S","I","R","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20"
"1",1,198020,2000,0,9764,9984,9856,9971,10095,9949,9879,9728,9873,9992,9825,9851,10032,9762,9927,9967,9902,9916,9910,9837,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,197312,2575.3,132.7,9726.9,9946.4,9821.9,9933.5,10060.5,9917.8,9845.5,9690.1,9834.9,9955.8,9787.7,9817.9,9998.1,9727.3,9891.3,9932.3,9863,9884.7,9875.2,9801.2,129.7,131.7,126.6,130.2,126.9,126.2,126.8,130.9,132.1,129.5,130.4,127.2,128.5,128.5,129.6,126.8,133.2,124.3,127.9,128.3,7.4,5.9,7.5,7.3,7.6,5,6.7,7,6,6.7,6.9,5.9,5.4,6.2,6.1,7.9,5.8,7,6.9,7.5
"3",3,196413.1,3296,310.9,9685.8,9901.6,9775.4,9888.5,10014.5,9870.5,9800.3,9645.7,9789.6,9912.3,9745.7,9773,9952.6,9679.9,9844.8,9886.9,9817.8,9842,9830.3,9755.9,162.3,167.5,164.8,166.5,164,164.7,161.4,166.2,168.7,164.2,163.4,164.4,163.7,166.9,167.3,163.2,169.3,158.1,164.2,165.2,15.9,14.9,15.8,16,16.5,13.8,17.3,16.1,14.7,15.5,15.9,13.6,15.7,15.2,14.9,16.9,14.9,15.9,15.5,15.9
"4",4,195258.7,4216.6,544.7,9630,9840.1,9719.8,9830.1,9954.7,9811.2,9740.3,9591.2,9734.4,9850.9,9690.6,9715.9,9891.3,9620.3,9787.8,9831,9760.9,9783.8,9774,9700.4,206.3,216.4,209.2,212.7,213.3,212.2,210.2,207.9,212.3,214.1,205.3,210.1,212.2,217.2,210.6,210,214.1,204.7,207.5,210.3,27.7,27.5,27,28.2,27,25.6,28.5,28.9,26.3,27,29.1,25,28.5,24.5,28.6,26,27,27.5,28.5,26.3
"5",5,193789,5394.4,836.6,9557.3,9765.2,9654.3,9751.3,9880.1,9738.3,9663.9,9519.3,9666.3,9773.6,9619.9,9643.3,9818.2,9546.7,9711.7,9758.4,9688,9704.8,9701.2,9627.2,265.8,277.1,259,276.7,273.3,270.6,271.5,267.1,266.7,273.9,262.2,269.3,269.2,276.3,273.3,265.5,270.7,270.8,267.1,268.3,40.9,41.7,42.7,43,41.6,40.1,43.6,41.6,40,44.5,42.9,38.4,44.6,39,42,43.1,43.3,40.4,41.7,41.5
"6",6,191932.2,6881.2,1206.6,9462,9672.8,9562.2,9656.4,9786.2,9645.8,9571.1,9429.4,9571.4,9681.5,9527.1,9553,9722,9455.2,9618.8,9663.9,9597.6,9613,9609.9,9532.9,345.4,351.5,333.5,354.3,348.4,346.4,345.3,337.9,344.4,348,335.7,341.5,345.3,347.9,348.3,340.8,344.5,342.4,338.6,341.1,56.6,59.7,60.3,60.3,60.4,56.8,62.6,60.7,57.2,62.5,62.2,56.5,64.7,58.9,59.9,62.3,59.9,60.6,61.5,63
"7",7,189594.5,8739.9,1685.6,9339.5,9555.8,9445.4,9539.5,9670,9525.4,9458.3,9317.5,9456.2,9563.6,9406.1,9437.9,9602.2,9337.1,9498.8,9546.1,9481.7,9495.1,9498.4,9419.9,443.4,445.4,428.2,445.1,439.4,444.8,435,425.4,435.3,442.8,433.6,431.5,441.3,441.2,441.2,434.2,435.6,439.3,427.9,429.3,81.1,82.8,82.4,86.4,85.6,78.8,85.7,85.1,81.5,85.6,85.3,81.6,88.5,83.7,87,86.7,84.7,81.6,83.7,87.8
"8",8,186678.5,11051,2290.5,9193.6,9412.7,9303.5,9394,9519.8,9382.4,9316.2,9165.6,9311.7,9417.5,9265.7,9299.8,9454.3,9188.6,9348.3,9392.2,9336.2,9347.7,9353.6,9275.1,559.3,558.5,540.4,558,558.9,557.7,548.3,547.7,550,558.4,541.9,540.2,559.7,559.3,558.4,558.1,550.5,557.3,544.7,543.7,111.1,112.8,112.1,119,116.3,108.9,114.5,114.7,111.3,116.1,117.4,111,118,114.1,120.3,116.7,115.3,111,111.7,118.2
"9",9,182990.4,13973.3,3056.3,9009.2,9227.1,9119.1,9209.4,9329.2,9192.6,9123.7,8977,9135.7,9227.6,9091,9125.3,9267.7,9005.1,9162.8,9208.9,9154,9158.8,9177.7,9088.5,704.7,702.9,686.8,705,710.6,706.4,704.3,699.3,686.6,708.6,679,678.3,711,707.1,705.1,701.3,694.2,705.4,681.8,694.9,150.1,154,150.1,156.6,155.2,150,151,151.7,150.7,155.8,155,147.4,153.3,149.8,159.1,156.8,153.8,151.8,150.5,153.6
"10",10,178487,17515.4,4017.6,8781.8,8997.8,8902.1,8981.7,9099.6,8956.2,8895.4,8749.6,8911.4,8997.3,8875.8,8913.4,9040,8778.9,8938.8,8981.4,8929.5,8939.7,8956,8860.6,885.4,884.5,856.7,884.8,890.1,895.6,882.9,878.1,864,888.7,846.1,842.2,891,888.7,880.3,879.8,870.4,873.4,855.3,877.4,196.8,201.7,197.2,204.5,205.3,197.2,200.7,200.3,197.6,206,203.1,195.4,201,194.4,207.9,205.8,202.1,202.9,198.7,199
"11",11,173025.6,21777,5217.4,8502.4,8713.6,8629.2,8710.1,8819.1,8684.1,8626.7,8484.3,8637.4,8722.9,8602.8,8645.1,8759.5,8512.7,8661,8699.4,8661.3,8681.9,8685.5,8586.6,1104.6,1107,1071.6,1095.2,1108.9,1107.7,1088.7,1089.3,1076.4,1095.7,1063.3,1056.8,1107,1094.8,1097.6,1098.3,1080.1,1073.7,1070.5,1089.8,257,263.4,255.2,265.7,267,257.2,263.6,254.4,259.2,273.4,258.9,249.1,265.5,254.5,268.4,269.3,260.6,260.4,254,260.6
"12",12,166441.5,26852.2,6726.3,8171.3,8379.3,8297.1,8365.9,8484.3,8349.2,8295.8,8158.4,8314.1,8397.5,8285.6,8317.3,8437.8,8186.2,8321.7,8381,8317.7,8352.3,8362.8,8266.2,1358.7,1363.5,1329.6,1361.8,1365.6,1371.1,1343.1,1340.7,1323.2,1347,1302.3,1313.3,1357,1343.4,1358.3,1340.2,1349.1,1330.3,1319.3,1334.7,334,341.2,329.3,343.3,345.1,328.7,340.1,328.9,335.7,347.5,337.1,320.4,337.2,332.4,347,345.8,335.2,333.4,327.9,336.1
"13",13,158670.6,32757.8,8591.6,7780.6,7992.4,7908.5,7978.8,8090.2,7956,7899.3,7777.8,7932.1,8001.9,7895.8,7939.5,8049.2,7796,7931.2,7993.8,7923.8,7970.4,7969.8,7883.5,1655.6,1654.1,1625.2,1652.1,1661.8,1662.5,1644.2,1631.1,1613.1,1651.1,1599.1,1601.5,1655.5,1642.6,1656.6,1630.2,1652.5,1622.6,1621.2,1625.2,427.8,437.5,422.3,440.1,443,430.5,435.5,419.1,427.8,439,430.1,410,427.3,423.4,439.2,443,425.7,423,419,428.3
"14",14,149617.3,39560.8,10841.9,7338.7,7536.4,7461.8,7516.1,7626.4,7498.6,7458.2,7327.6,7483.1,7553.7,7445.5,7482.3,7588.4,7349.7,7475.9,7535.3,7468.4,7519.7,7510.4,7441.1,1988.4,1993.2,1959.1,1998.3,2012.7,2006.4,1977,1968.4,1954.8,1981.3,1937.6,1944.6,2003.3,1970,1993.5,1976.8,1996.7,1963.1,1974.4,1961.2,536.9,554.4,535.1,556.6,555.9,544,543.8,532,535.1,557,541.9,524.1,540.3,542.3,557.6,554.9,536.9,533.2,525.2,534.7
