"","time","S","I","R","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10"
"1",1,997,10,0,109,101,101,84,100,88,108,101,98,107,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"2",2,994,12.5,0.5,108.7,100.8,100.7,84,99.6,87.8,107.8,100.7,97.5,106.4,1.1,1.2,1.3,0.9,1.4,1.2,1.2,1.3,1.3,1.6,0.2,0,0,0.1,0,0,0,0,0.2,0
"3",3,989.5,16.3,1.2,108.4,100.4,99.9,83.5,99.3,87.5,107.3,100.2,97.3,105.7,1.3,1.6,1.9,1.4,1.7,1.4,1.7,1.6,1.5,2.2,0.3,0,0.2,0.1,0,0.1,0,0.2,0.2,0.1
"4",4,984.7,20.8,1.5,108,99.8,99.1,83,98.8,87,107.1,99.6,97,105.3,1.7,2.2,2.7,1.9,2.1,1.9,1.9,2,1.8,2.6,0.3,0,0.2,0.1,0.1,0.1,0,0.4,0.2,0.1
"5",5,978.2,25.7,3.1,107.4,98.9,98.6,82.2,98.1,86.2,106.8,99,96.6,104.4,2.2,2.9,3.1,2.6,2.4,2.7,1.8,2.6,2.2,3.2,0.4,0.2,0.3,0.2,0.5,0.1,0.4,0.4,0.2,0.4
"6",6,969.7,32.3,5,106.4,98.3,98.2,81.3,96.7,85.6,105.8,98.4,95.6,103.4,3,3.3,3.5,3.3,3.6,3.1,2.6,2.7,3,4.2,0.6,0.4,0.3,0.4,0.7,0.3,0.6,0.9,0.4,0.4
"7",7,960.8,39.6,6.6,105.7,97.2,97.2,80.7,95.8,84.9,104.7,97.2,94.8,102.6,3.6,4.2,3.9,3.7,4.3,3.7,3.7,3.8,3.8,4.9,0.7,0.6,0.9,0.6,0.9,0.4,0.6,1,0.4,0.5
"8",8,946.4,51.7,8.9,103.9,96.1,95.9,80,94.2,83.7,103.1,95.4,93.2,100.9,5.2,5.1,5.1,4.2,5.6,4.7,4.9,5.5,5.1,6.3,0.9,0.8,1,0.8,1.2,0.6,1,1.1,0.7,0.8
"9",9,928.4,66.2,12.4,102.1,94.2,93.5,78.3,93.5,81.6,100.9,93.9,91.8,98.6,6.6,6.8,7.2,5.6,5.8,6.6,6.9,6.4,6.3,8,1.3,1,1.3,1.1,1.7,0.8,1.2,1.7,0.9,1.4
"10",10,905.9,84.8,16.3,99.8,92,92.1,77,91.2,79.2,97.9,91.7,89.6,95.4,8.7,8.1,8.3,6.6,8,8.5,9.6,8.4,8,10.6,1.5,1.9,1.6,1.4,1.8,1.3,1.5,1.9,1.4,2
"11",11,880.2,104.1,22.7,97.3,89.5,89.8,75,89.2,77,93.4,89.1,87.1,92.8,10.6,10,10.1,8,9.4,10.1,12.9,10.5,9.7,12.8,2.1,2.5,2.1,2,2.4,1.9,2.7,2.4,2.2,2.4
"12",12,847.9,129.1,30,94.7,85.7,86.9,72.5,85.8,73.9,89.5,86.9,83.3,88.7,12.5,13.3,12.3,9.9,12.2,12.4,15.9,12.2,12.7,15.7,2.8,3,2.8,2.6,3,2.7,3.6,2.9,3,3.6
"13",13,807.5,161.3,38.2,91.2,81.2,82.6,69.2,81.7,70.7,83.7,83.5,78.5,85.2,15,16.7,15.8,12.7,15.7,14.7,20.7,15.1,16.5,18.4,3.8,4.1,3.6,3.1,3.6,3.6,4.6,3.4,4,4.4
"14",14,764.2,191.2,51.6,86.3,76.4,78.2,65.1,77.1,67.2,78.8,80.1,74.6,80.4,18.6,20.2,18.8,15.7,18.9,16.6,24.2,17.7,18.6,21.9,5.1,5.4,5,4.2,5,5.2,6,4.2,5.8,5.7
"15",15,716.1,229.5,61.4,81.7,70.6,74.5,60.6,72.4,62.7,74.3,74.6,69.6,75.1,22.7,25.2,21.4,19.2,22.8,20,27.2,22.5,22.3,26.2,5.6,6.2,6.1,5.2,5.8,6.3,7.5,4.9,7.1,6.7
"16",16,664.4,265.5,77.1,75.3,65.5,69.5,55.6,67.4,57.4,69.6,69.8,64.9,69.4,27,28.6,25.1,22.6,26.3,24.3,29.6,25.8,26.2,30,7.7,7.9,7.4,6.8,7.3,7.3,9.8,6.4,7.9,8.6
"17",17,609.4,301.7,95.9,67.9,60.4,64.5,50.9,61.6,52.5,63.5,65.4,59.3,63.4,32.8,30.9,27.9,25.8,29.8,27.5,34.2,28.1,30.3,34.4,9.3,10.7,9.6,8.3,9.6,9,11.3,8.5,9.4,10.2
"18",18,547.7,341.2,118.1,62.2,53.9,57.3,45.3,54.7,46.9,56.4,59.6,53.3,58.1,36,35.5,32.5,29.6,33.7,31.2,39.3,32,34,37.4,11.8,12.6,12.2,10.1,12.6,10.9,13.3,10.4,11.7,12.5
"19",19,487.3,378.1,141.6,55.5,48.3,52.5,39,49.2,42.2,49.3,52.2,47.5,51.6,40.1,39.2,35.1,33.8,36.1,33.8,43.6,37.3,37.6,41.5,14.4,14.5,14.4,12.2,15.7,13,16.1,12.5,13.9,14.9
"20",20,428.7,410.7,167.6,50.1,42.4,46.9,34.6,42.8,36.2,43.4,45.5,41.3,45.5,43.3,43.6,37.6,35.5,40.5,37.1,46.2,41.4,40.5,45,16.6,16,17.5,14.9,17.7,15.7,19.4,15.1,17.2,17.5
"21",21,370.1,441.5,195.4,42.2,36.4,40.9,29.7,36.1,32.2,37.1,39.6,35.7,40.2,48.4,46.3,40.8,37.9,43.8,38.2,50.1,44.4,43.3,48.3,19.4,19.3,20.3,17.4,21.1,18.6,21.8,18,20,19.5
