"","time","S","I","R"
"1",1,197791,1998,0
"2",2,197435,2210,144
"3",3,197073,2427,289
"4",4,196677,2656,456
"5",5,196233,2916,640
"6",6,195744,3209,836
"7",7,195186,3539,1064
"8",8,194621,3864,1304
"9",9,193929,4285,1575
"10",10,193164,4745,1880
"11",11,192375,5206,2208
"12",12,191452,5776,2561
"13",13,190388,6446,2955
"14",14,189314,7086,3389
"15",15,188078,7828,3883
"16",16,186774,8561,4454
"17",17,185396,9348,5045
"18",18,183848,10283,5658
"19",19,182165,11219,6405
"20",20,180318,12292,7179
"21",21,178377,13374,8038
"22",22,176316,14525,8948
"23",23,174043,15814,9932
"24",24,171641,17026,11122
"25",25,168985,18523,12281
"26",26,166215,20016,13558
"27",27,163224,21554,15011
"28",28,160163,23198,16428
"29",29,156935,24803,18051
"30",30,153518,26449,19822
"31",31,149914,28276,21599
"32",32,146156,30100,23533
"33",33,142271,31900,25618
"34",34,138233,33672,27884
"35",35,134104,35531,30154
"36",36,129859,37363,32567
"37",37,125614,39031,35144
"38",38,121254,40738,37797
"39",39,117011,42226,40552
"40",40,112665,43746,43378
"41",41,108371,44987,46431
"42",42,104131,46241,49417
"43",43,99923,47272,52594
"44",44,95765,48240,55784
"45",45,91653,49100,59036
"46",46,87756,49518,62515
"47",47,83870,50050,65869
"48",48,80111,50301,69377
"49",49,76501,50519,72769
"50",50,73217,50338,76234
"51",51,69937,50219,79633
"52",52,66799,49824,83166
"53",53,63889,49342,86558
"54",54,61186,48642,89961
"55",55,58614,47802,93373
"56",56,56237,46848,96704
"57",57,53924,45979,99886
"58",58,51741,45028,103020
"59",59,49625,43996,106168
"60",60,47683,42957,109149
"61",61,45857,41857,112075
"62",62,44125,40681,114983
"63",63,42549,39453,117787
"64",64,41098,38125,120566
"65",65,39720,36859,123210
"66",66,38474,35507,125808
"67",67,37291,34287,128211
"68",68,36161,33072,130556
"69",69,35145,31833,132811
"70",70,34202,30644,134943
"71",71,33267,29509,137013
"72",72,32412,28355,139022
"73",73,31538,27261,140990
"74",74,30812,26119,142858
"75",75,30121,25003,144665
"76",76,29491,23936,146362
"77",77,28851,22895,148043
"78",78,28317,21892,149580
"79",79,27733,20941,151115
"80",80,27214,20040,152535
"81",81,26755,19103,153931
"82",82,26300,18300,155189
"83",83,25884,17369,156536
"84",84,25488,16574,157727
"85",85,25124,15837,158828
"86",86,24769,15134,159886
"87",87,24429,14458,160902
"88",88,24108,13816,161865
"89",89,23791,13155,162843
"90",90,23539,12442,163808
"91",91,23293,11847,164649
"92",92,23044,11237,165508
"93",93,22809,10718,166262
"94",94,22619,10199,166971
"95",95,22399,9684,167706
"96",96,22228,9186,168375
"97",97,22057,8729,169003
"98",98,21903,8279,169607
"99",99,21756,7824,170209
"100",100,21636,7401,170752
"101",101,21486,7054,171249
"102",102,21351,6683,171755
"103",103,21214,6341,172234
"104",104,21101,6016,172672
"105",105,20996,5738,173055
"106",106,20886,5434,173469
"107",107,20770,5178,173841
"108",108,20683,4909,174197
"109",109,20607,4677,174505
"110",110,20538,4433,174818
"111",111,20462,4225,175102
"112",112,20381,4029,175379
"113",113,20309,3825,175655
"114",114,20243,3629,175917
"115",115,20176,3426,176187
"116",116,20124,3218,176447
"117",117,20069,3064,176656
"118",118,20027,2897,176865
"119",119,19977,2753,177059
"120",120,19929,2609,177251
"121",121,19877,2489,177423
"122",122,19834,2342,177613
"123",123,19801,2204,177784
"124",124,19767,2093,177929
"125",125,19730,1987,178072
"126",126,19701,1880,178208
"127",127,19667,1796,178326
"128",128,19631,1715,178443
"129",129,19598,1619,178572
"130",130,19577,1523,178689
"131",131,19558,1433,178798
"132",132,19527,1380,178882
"133",133,19504,1309,178976
"134",134,19482,1243,179064
"135",135,19463,1189,179137
"136",136,19440,1131,179218
"137",137,19421,1073,179295
"138",138,19394,1031,179364
"139",139,19381,955,179453
"140",140,19359,909,179521
